(['badger', 'mask'], ['gila', 'chest'], ['gila', 'holster'], ['badger', 'backpack'], ['gila', 'gloves'], ['gila', 'knees'])
(['badger', 'mask'], ['gila', 'chest'], ['gila', 'holster'], ['gila', 'backpack'], ['badger', 'gloves'], ['gila', 'knees'])
(['badger', 'mask'], ['murakami', 'chest'], ['murakami', 'holster'], ['badger', 'backpack'], ['murakami', 'gloves'], ['murakami', 'knees'])
(['badger', 'mask'], ['murakami', 'chest'], ['murakami', 'holster'], ['murakami', 'backpack'], ['badger', 'gloves'], ['murakami', 'knees'])
(['badger', 'mask'], ['providence', 'chest'], ['providence', 'holster'], ['badger', 'backpack'], ['providence', 'gloves'], ['providence', 'knees'])
(['badger', 'mask'], ['providence', 'chest'], ['providence', 'holster'], ['providence', 'backpack'], ['badger', 'gloves'], ['providence', 'knees'])
(['china', 'mask'], ['gila', 'chest'], ['gila', 'holster'], ['gila', 'backpack'], ['china', 'gloves'], ['gila', 'knees'])
(['china', 'mask'], ['gila', 'chest'], ['gila', 'holster'], ['gila', 'backpack'], ['gila', 'gloves'], ['china', 'knees'])
(['china', 'mask'], ['murakami', 'chest'], ['murakami', 'holster'], ['murakami', 'backpack'], ['china', 'gloves'], ['murakami', 'knees'])
(['china', 'mask'], ['murakami', 'chest'], ['murakami', 'holster'], ['murakami', 'backpack'], ['murakami', 'gloves'], ['china', 'knees'])
(['china', 'mask'], ['providence', 'chest'], ['providence', 'holster'], ['providence', 'backpack'], ['china', 'gloves'], ['providence', 'knees'])
(['china', 'mask'], ['providence', 'chest'], ['providence', 'holster'], ['providence', 'backpack'], ['providence', 'gloves'], ['china', 'knees'])
(['douglas', 'mask'], ['gila', 'chest'], ['douglas', 'holster'], ['gila', 'backpack'], ['gila', 'gloves'], ['gila', 'knees'])
(['douglas', 'mask'], ['gila', 'chest'], ['gila', 'holster'], ['gila', 'backpack'], ['gila', 'gloves'], ['douglas', 'knees'])
(['douglas', 'mask'], ['murakami', 'chest'], ['douglas', 'holster'], ['murakami', 'backpack'], ['murakami', 'gloves'], ['murakami', 'knees'])
(['douglas', 'mask'], ['murakami', 'chest'], ['murakami', 'holster'], ['murakami', 'backpack'], ['murakami', 'gloves'], ['douglas', 'knees'])
(['douglas', 'mask'], ['providence', 'chest'], ['douglas', 'holster'], ['providence', 'backpack'], ['providence', 'gloves'], ['providence', 'knees'])
(['douglas', 'mask'], ['providence', 'chest'], ['providence', 'holster'], ['providence', 'backpack'], ['providence', 'gloves'], ['douglas', 'knees'])
(['gila', 'mask'], ['5.11', 'chest'], ['gila', 'holster'], ['5.11', 'backpack'], ['gila', 'gloves'], ['gila', 'knees'])
(['gila', 'mask'], ['5.11', 'chest'], ['gila', 'holster'], ['gila', 'backpack'], ['5.11', 'gloves'], ['gila', 'knees'])
(['gila', 'mask'], ['alps', 'chest'], ['gila', 'holster'], ['alps', 'backpack'], ['gila', 'gloves'], ['gila', 'knees'])
(['gila', 'mask'], ['alps', 'chest'], ['gila', 'holster'], ['gila', 'backpack'], ['alps', 'gloves'], ['gila', 'knees'])
(['gila', 'mask'], ['fenris', 'chest'], ['fenris', 'holster'], ['gila', 'backpack'], ['gila', 'gloves'], ['gila', 'knees'])
(['gila', 'mask'], ['fenris', 'chest'], ['gila', 'holster'], ['gila', 'backpack'], ['gila', 'gloves'], ['fenris', 'knees'])
